ID,pond,species,mass,svl,year
SR1_BS5,SR1,blue-spotted,0.9,32,2018
SR1_BS6,SR1,blue-spotted,1.7,43,2018
NR1_SP1,NR1,spotted,7.7,56,2018
NR1_RB1,NR1,red-backed,0.7,40,2018
NR1_RB2,NR1,red-backed,1.1,41,2018
NR1_RB3,NR1,red-backed,1,36,2018
NR1_RB4,NR1,red-backed,1.2,44,2018
RLNQ1_BS1,SR4-BLUE,blue-spotted,0.8,29,2018
RLNQ1_BS2,SR4-BLUE,blue-spotted,7.1,69,2018
RLNQ1_BS3,SR4-BLUE,blue-spotted,5,54,2018
RLNQ1_BS4,SR4-BLUE,blue-spotted,4.45,52,2018
RLEQ1_BS1,SR4-BLUE,blue-spotted,6.1,55,2018
RLEQ1_BS2,SR4-BLUE,blue-spotted,6.3,57,2018
RLNQ2_BS1,SR4-BLUE,blue-spotted,4.27,50.6,2018
RLNQ2_BS2,SR4-BLUE,blue-spotted,7.5,55,2018
RLWQ1_BS1,SR4-BLUE,blue-spotted,4.7,50,2018
RLWQ1_BS2,SR4-BLUE,blue-spotted,5.4,55,2018
RLEQ2_RB1,SR4-BLUE,red-backed,1.2,42,2018
RLEQ2_BS1,SR4-BLUE,blue-spotted,5.18,57,2018
RLEQ2_BS2,SR4-BLUE,blue-spotted,5.4,61,2018
RLEQ2_BS3,SR4-BLUE,blue-spotted,6.5,62,2018
RLEQ2_BS4,SR4-BLUE,blue-spotted,7.1,63,2018
RLEQ2_BS5,SR4-BLUE,blue-spotted,5.61,62,2018
RLEQ2_BS6,SR4-BLUE,blue-spotted,6.73,63,2018
RLEQ2_BS7,SR4-BLUE,blue-spotted,4.14,60,2018
RLEQ2_BS8,SR4-BLUE,blue-spotted,7.65,64,2018
RLEQ2_BS9,SR4-BLUE,blue-spotted,5.04,71,2018
RL_BS1,SR4-BLUE,blue-spotted,4.82,53,2018
RL_BS2,SR4-BLUE,blue-spotted,4.13,56,2018
SQ1_RB1,NR2,red-backed,0.75,33,2018
SQ1_RB2,NR2,red-backed,1.28,45,2018
SQ1_RB3,NR2,red-backed,1.2,40,2018
EO_RB1,NR2,red-backed,1.39,34,2018
EO_RB2,NR2,red-backed,1.49,43,2018
EO_RB3,NR2,red-backed,1.37,39,2018
EO_RB4,NR2,red-backed,1.15,36,2018
EO_RB5,NR2,red-backed,1.31,45,2018
EO_RB6,NR2,red-backed,0.72,30,2018
EO_RB7,NR2,red-backed,0.88,32,2018
EO_RB8,NR2,red-backed,0.66,33,2018
EO_RB9,NR2,red-backed,0.45,30,2018
EO_RB10,NR2,red-backed,0.35,26,2018
EO_RB11,NR2,red-backed,1.23,41,2018
EO_RB12,NR2,red-backed,0.73,38,2018
EO_RB13,NR2,red-backed,0.35,28,2018
EO_RB14,NR2,red-backed,0.68,40,2018
EO_RB15,NR2,red-backed,1.48,41,2018
EO_RB16,NR2,red-backed,0.35,31,2018
NQ2_RB1,NR2,red-backed,2.2,45,2018
